Latency mode,Skipped segments,ASR degraded segments,Q,Method,Memory nodes,Retrieval queries,Gemini calls,Embed ms,Dense ms,Sparse ms,StreamMeCo/Mandol ms,Graph lookup ms,Rerank ms,Retrieval total ms,Gemini answer/controller ms,End-to-end ms,Answer,Correct
warm_retrieval_uncached_question,0,0,1,A,147,4,6,1157.8272529877722,66.44385401159525,0.0,0.42120997386518866,0.4563360271276906,0.0,1226.4854699897114,37656.28458598803,38885.26905400795,Taller one,True
warm_retrieval_uncached_question,0,0,1,B,147,1,1,295.5973240023013,40.15136200177949,0.0,0.23800799681339413,0.42217499867547303,0.0,336.9009849993745,5896.271926001646,6234.055291002733,The retrieved memories are insufficient to answer this question.,False
warm_retrieval_uncached_question,0,0,1,C,115,1,1,265.8209210057976,13.225422997493297,0.0,0.1004189980449155,0.3375649976078421,0.0,279.82831600820646,5060.868180997204,5341.331910996814,The retrieved memories are insufficient to determine whether Emma's coat should be placed on the taller or shorter coat rack.,False
warm_retrieval_uncached_question,0,0,1,D,143,1,1,751.1742009955924,8.090213988907635,28.720892005367205,0.3057939902646467,0.43871304660569876,1646.897929997067,2413.632702999166,9166.503202999593,11581.02647800115,"Based on the retrieved memories, there is insufficient information to determine whether Emma's coat should be placed on the taller or shorter coat rack.",False
warm_retrieval_uncached_question,0,0,2,A,725,1,2,305.1476679975167,78.8619860104518,0.0,0.6455940019804984,0.9225239919032902,0.0,386.15698998910375,10126.089758006856,10513.203506998252,"No, Emma's tidying up habit is not good.",True
warm_retrieval_uncached_question,0,0,2,B,725,1,1,278.0321190075483,82.35579800384585,0.0,0.628000998403877,3.532564005581662,0.0,365.1302869984647,5805.128266001702,6170.772812998621,"No. The memories indicate her tidying habit is not good, as someone is frustrated by a cluttered desk and suspects Emma caused it.",True
warm_retrieval_uncached_question,0,0,2,C,563,1,1,329.5002679951722,60.27697600075044,0.0,0.6356039957609028,0.8699560130480677,0.0,391.83828998648096,5602.371983011835,5994.737735993112,"No, Emma's tidying up habit does not appear to be good; another woman is frustrated by the cluttered condition of a desk and suspects Emma caused it.",True
warm_retrieval_uncached_question,0,0,2,D,715,1,1,640.6176589953247,5.915116998949088,17.64078099222388,0.5276010051602498,1.01496436400339,1731.342847997439,2387.2626129887067,3511.5007139975205,5899.717569991481,"Based on the retrieved memories, no, Emma’s tidying up habit does not seem good; another woman was frustrated by a cluttered desk suspected to have been caused by Emma and had to remind her to throw something into the bin.",True
warm_retrieval_uncached_question,0,0,3,A,725,2,3,821.772448005504,172.07667700131424,0.0,1.3579010119428858,1.7889030132209882,0.0,998.17811298999,17862.87677299697,18862.451060995227,Emma’s mother places heavy stress and high expectations on Emma’s academic performance and grades.,True
warm_retrieval_uncached_question,0,0,3,B,725,1,1,325.60371000727173,78.66789201216307,0.0,0.7219270046334714,0.9584929939592257,0.0,406.57507500145584,88761.82047299517,89168.90807199525,Emma’s mother stresses heavily over her academic performance.,False
warm_retrieval_uncached_question,0,0,3,C,563,1,1,256.88895500206854,69.67489200178534,0.0,0.7716219988651574,0.8494479989167303,0.0,328.76439500250854,16441.756333995727,16771.181511998293,Emma’s mother stresses heavily over her academic performance.,False
warm_retrieval_uncached_question,0,0,3,D,715,1,1,740.6547190039419,7.943497999804094,19.226049989811145,0.697801006026566,0.9990562975872308,1624.4724840071285,2381.7322489921935,5372.503471997334,7755.846456988365,"Emma’s mother places high pressure and expectations on her academic studies, stressing heavily over her academic performance.",True
warm_retrieval_uncached_question,0,0,4,A,725,4,6,2342.3878269968554,250.1859720068751,0.0,2.415463008219376,2.5682099803816527,0.0,2599.829470011173,98886.45320601063,101489.32861500361,Creativity (creative ability),False
warm_retrieval_uncached_question,0,0,4,B,725,1,1,308.9444659999572,83.16117699723691,0.0,0.7005079969530925,0.9463699971092865,0.0,394.36916999693494,5133.453307003947,5528.392318010447,The retrieved memories are insufficient to answer this question.,False
warm_retrieval_uncached_question,0,0,4,C,563,1,1,246.55029400310013,70.59627599664964,0.0,0.7711999933235347,0.915562006412074,0.0,320.49499500135425,15350.004787993385,15671.837128000334,"Based on the retrieved memories, the information is insufficient to answer what Lily thinks is the most important ability of a designer.",False
warm_retrieval_uncached_question,0,0,4,D,715,1,1,744.1116260015406,6.0637260030489415,20.27707701199688,0.45432501065079123,1.0976370249409229,1615.8008289930876,2372.808582003927,9658.281145006185,12033.157561992994,"Based on the retrieved memories, the information is insufficient to answer what Lily thinks is the most important ability of a designer.",False
warm_retrieval_uncached_question,0,0,5,A,725,1,2,245.52837800001726,79.37851599126589,0.0,0.9127950033871457,0.9889490029308945,0.0,327.4177650018828,14302.038759997231,14630.346788995666,** Emma plans to improve her programming skills by working on hands-on programming projects and participating in programming competitions.,False
warm_retrieval_uncached_question,0,0,5,B,725,1,1,354.02341998997144,100.38683499442413,0.0,0.9125859942287207,1.0411679977551103,0.0,457.0387690037023,8573.050770995906,9030.76076299476,"Emma plans to work on programming projects, share her first successful project, and participate in programming competitions.",False
warm_retrieval_uncached_question,0,0,5,C,563,1,1,305.7751339947572,63.96654598938767,0.0,0.6276909989537671,0.8814780012471601,0.0,371.78754901106004,6575.334035005653,6947.680443990976,"Based on the retrieved memories, Emma plans to work on programming projects, share her first successful project, and participate in programming competitions.",False
warm_retrieval_uncached_question,0,0,5,D,715,1,1,636.6043870075373,3.686398995341733,24.39439599402249,0.5178339924896136,1.2990821414859965,1607.8942250023829,2255.9932059957646,7304.7980229894165,9562.3380659963,Emma plans to improve her programming skills by sharing her first successful project and participating in programming/technical competitions.,False
warm_retrieval_uncached_question,0,0,6,A,725,1,2,278.19930600526277,79.22045099257957,0.0,0.686029001371935,0.940429003094323,0.0,359.6307949919719,9022.438487008912,9382.93660301133,Lily likes mocha.,True
warm_retrieval_uncached_question,0,0,6,B,725,1,1,289.5496399869444,95.14475699688774,0.0,0.8014280028874055,0.9774380014277995,0.0,387.23229100287426,9378.204538996215,9766.110586992,"Based on the retrieved memories, the information is insufficient to determine what kind of coffee Lily likes.",False
warm_retrieval_uncached_question,0,0,6,C,563,1,1,219.25906799151562,74.15379700250924,0.0,0.6819330010330305,0.8681829931447282,0.0,295.5481299868552,10552.043582007173,10848.073740999098,"Based on the retrieved memories, Lily likes mocha (she orders a mocha).",True
warm_retrieval_uncached_question,0,0,6,D,715,1,1,617.555293996702,6.032897988916375,17.930518995854072,0.43526799709070474,1.0380708263255656,1647.919750001165,2278.121593000833,6155.79147200333,8435.461889006547,"Based on the retrieved memories, Lily likes mocha (she orders a mocha).",True
warm_retrieval_uncached_question,0,0,7,A,725,4,6,1159.972862995346,326.86691702110693,0.0,2.9962170083308592,3.0410079925786704,0.0,1495.4180300119333,28181.82815500768,29680.467853002483,Computer Science,True
warm_retrieval_uncached_question,0,0,7,B,725,1,1,280.0325320131378,83.89616999193095,0.0,0.9655260073486716,0.9383249998791143,0.0,366.437472999678,8663.778421003371,9030.829726994853,"The retrieved memories do not specify Emma's major, though they mention her interest and background in coding and computer science. Therefore, the memories are insufficient to give a definitive answer.",False
warm_retrieval_uncached_question,0,0,7,C,563,1,1,659.1473730077269,72.63853801123332,0.0,0.6812210049247369,0.8352909935638309,0.0,733.8956089952262,5254.329314004281,5988.731335004559,The retrieved memories are insufficient to determine Emma's major.,False
warm_retrieval_uncached_question,0,0,7,D,715,1,1,661.4297100022668,5.84339200577233,19.738907998544164,0.46605500392615795,1.3121506926836446,1635.8557740022661,2310.2774510043673,3698.7580659915693,6010.0576679978985,The retrieved memories are insufficient to determine Emma's major.,False
warm_retrieval_uncached_question,0,0,8,A,147,4,6,1240.8811699860962,71.56669898540713,0.0,0.48980100837070495,0.4358589794719592,0.0,1314.7792529925937,85319.9313130026,86637.3959670018,shorter one,True
warm_retrieval_uncached_question,0,0,8,B,147,1,1,353.33661499316804,18.54231300239917,0.0,0.18971700046677142,0.3490570088615641,0.0,372.8309599973727,5144.876424994436,5518.3661619958,"The retrieved memories are insufficient to answer this question, as they do not mention whether the coat rack is the taller or shorter one.",False
warm_retrieval_uncached_question,0,0,8,C,115,1,1,221.6871950076893,16.145005996804684,0.0,0.10011799167841673,0.47069499851204455,0.0,238.73779400310013,3949.870757991448,4189.085147998412,"Based on the retrieved memories, the information is insufficient to determine whether Emma's hat should be placed on the taller or shorter coat rack.",False
